0 [0.01, 0.01]
3990 [2.185903e-03, 2.065785e-02]
4000 [2.102588e-03, 2.042674e-02]
4010 [2.232950e-03, 2.065615e-02]
4020 [2.271938e-03, 2.063002e-02]
4030 [2.105662e-03, 2.042353e-02]
4040 [2.232636e-03, 2.063912e-02]
4050 [2.195489e-03, 2.056148e-02]
4060 [2.235875e-03, 2.067037e-02]
4070 [2.237498e-03, 2.061273e-02]
4080 [2.080393e-03, 2.022024e-02]
4090 [2.229152e-03, 2.058949e-02]
4100 [2.301821e-03, 2.066527e-02]
4110 [2.279689e-03, 2.060083e-02]
4120 [2.304798e-03, 2.056478e-02]
4130 [2.157843e-03, 2.023543e-02]
4140 [2.280266e-03, 2.056850e-02]
4150 [2.294807e-03, 2.051463e-02]
4160 [2.352774e-03, 2.063566e-02]
4170 [2.367444e-03, 2.067029e-02]
4180 [2.305513e-03, 2.044010e-02]
4190 [2.317917e-03, 2.023334e-02]
4200 [2.411374e-03, 2.050403e-02]
4210 [2.052718e-03, 2.008592e-02]
4220 [2.419402e-03, 2.067003e-02]
4230 [2.291720e-03, 2.032608e-02]
4240 [2.406669e-03, 2.057770e-02]
4250 [2.395204e-03, 2.058414e-02]
4260 [2.439991e-03, 2.061668e-02]
4270 [2.472240e-03, 2.066510e-02]
4280 [2.487451e-03, 2.066582e-02]
4290 [2.524390e-03, 2.069802e-02]
4300 [2.544195e-03, 2.070338e-02]
4310 [2.566526e-03, 2.071350e-02]
4320 [2.459256e-03, 2.036544e-02]
4330 [2.094799e-03, 1.966994e-02]
4340 [2.799423e-03, 2.066892e-02]
4350 [2.325997e-03, 2.032469e-02]
4360 [2.634233e-03, 2.059806e-02]
4370 [2.596057e-03, 2.060119e-02]
4380 [2.630609e-03, 2.063047e-02]
4390 [2.683184e-03, 2.068697e-02]
4400 [2.693896e-03, 2.068286e-02]
4410 [2.658220e-03, 2.046503e-02]
4420 [2.682106e-03, 2.037100e-02]
4430 [2.849029e-03, 2.082607e-02]
4440 [2.547183e-03, 2.033921e-02]
4450 [2.651467e-03, 2.060721e-02]
4460 [2.667370e-03, 2.038459e-02]
4470 [2.815495e-03, 2.065763e-02]
4480 [2.722305e-03, 2.052776e-02]
4490 [2.812377e-03, 2.067614e-02]
4500 [2.859567e-03, 2.068974e-02]
4510 [2.897297e-03, 2.072375e-02]
4520 [2.944759e-03, 2.075987e-02]
4530 [2.851266e-03, 2.025260e-02]
4540 [2.646970e-03, 2.004365e-02]
4550 [3.253325e-03, 2.082230e-02]
4560 [2.646679e-03, 2.034876e-02]
4570 [3.145068e-03, 2.080872e-02]
4580 [2.983645e-03, 2.067894e-02]
4590 [3.127161e-03, 2.080015e-02]
4600 [3.150384e-03, 2.076462e-02]
4610 [2.723393e-03, 2.023865e-02]
4620 [3.097133e-03, 2.067911e-02]
4630 [2.922007e-03, 2.052931e-02]
4640 [3.044498e-03, 2.062655e-02]
4650 [3.068048e-03, 2.069557e-02]
4660 [3.119768e-03, 2.071017e-02]
4670 [3.194572e-03, 2.079279e-02]
4680 [3.230233e-03, 2.081295e-02]
4690 [3.288207e-03, 2.085278e-02]
4700 [3.149300e-03, 2.036376e-02]
4710 [3.235194e-03, 2.028753e-02]
4720 [3.014263e-03, 2.081829e-02]
4730 [3.337088e-03, 2.050300e-02]
4740 [3.409568e-03, 2.088523e-02]
4750 [3.325445e-03, 2.083004e-02]
4760 [3.553462e-03, 2.091496e-02]
4770 [3.475165e-03, 2.091138e-02]
4780 [3.545045e-03, 2.095046e-02]
4790 [3.586587e-03, 2.093758e-02]
4800 [3.093396e-03, 2.027533e-02]
4810 [3.359549e-03, 2.073055e-02]
4820 [3.564456e-03, 2.083942e-02]
4830 [3.668268e-03, 2.082519e-02]
4840 [3.666966e-03, 2.096866e-02]
4850 [3.614946e-03, 2.087037e-02]
4860 [3.783435e-03, 2.098829e-02]
4870 [3.392749e-03, 2.057625e-02]
4880 [3.733958e-03, 2.095346e-02]
4890 [3.607326e-03, 2.077956e-02]
4900 [3.665622e-03, 2.088214e-02]
4910 [3.730791e-03, 2.095154e-02]
4920 [3.757121e-03, 2.091825e-02]
4930 [2.529295e-03, 1.975213e-02]
4940 [3.769164e-03, 2.090838e-02]
4950 [4.140534e-03, 2.065094e-02]
4960 [3.723692e-03, 2.097889e-02]
4970 [3.601939e-03, 2.090635e-02]
4980 [4.000379e-03, 2.098205e-02]
4990 [4.021253e-03, 2.106860e-02]
5000 [3.968971e-03, 2.108813e-02]
5010 [4.070909e-03, 2.112253e-02]
5020 [4.085180e-03, 2.106280e-02]
5030 [3.312897e-03, 2.041849e-02]
5040 [3.619712e-03, 2.084298e-02]
5050 [3.968090e-03, 2.086420e-02]
5060 [4.198487e-03, 2.098116e-02]
5070 [4.012789e-03, 2.101174e-02]
5080 [4.019156e-03, 2.102285e-02]
5090 [4.126607e-03, 2.100349e-02]
5100 [3.780067e-03, 2.074437e-02]
5110 [3.977490e-03, 2.082936e-02]
5120 [4.198543e-03, 2.092063e-02]
5130 [4.280182e-03, 2.101472e-02]
5140 [4.211207e-03, 2.089019e-02]
5150 [4.368246e-03, 2.111335e-02]
5160 [4.170810e-03, 2.103000e-02]
5170 [4.362832e-03, 2.121473e-02]
5180 [4.323883e-03, 2.115181e-02]
5190 [4.361973e-03, 2.121604e-02]
5200 [3.581159e-03, 2.040965e-02]
5210 [3.916420e-03, 2.067992e-02]
5220 [4.247197e-03, 2.097450e-02]
5230 [4.140532e-03, 2.095995e-02]
5240 [4.270461e-03, 2.107661e-02]
5250 [4.311086e-03, 2.111001e-02]
5260 [4.411749e-03, 2.120418e-02]
5270 [4.450393e-03, 2.122212e-02]
5280 [4.300938e-03, 2.087261e-02]
5290 [4.585339e-03, 2.094866e-02]
5300 [4.854928e-03, 2.131388e-02]
5310 [4.106318e-03, 2.095033e-02]
5320 [4.477644e-03, 2.125927e-02]
